HospitalCode,OverallRating,Mortality,PatientExperience,Readmission,TimelinessOfCare,EffectivenessOfCare
50296,2,0,0,-1,0,-1
50298,2,0,-1,0,-1,0
50300,1,1,-1,-1,-1,0
50301,3,0,-1,1,0,0
50305,5,0,-1,1,-1,0
50308,5,0,1,1,-1,0
50309,5,-1,1,1,-1,0
50313,5,0,0,1,0,0
50315,1,NULL,-1,-1,-1,-1
50320,2,0,-1,0,-1,-1
50324,5,0,1,1,0,0
50327,3,0,0,-1,-1,0
50329,3,0,-1,0,-1,0
50334,3,0,0,1,0,0
50335,3,-1,0,-1,-1,0
50336,3,0,-1,-1,-1,0
50342,1,0,-1,-1,-1,0
50348,3,0,0,-1,-1,0
50350,1,1,-1,-1,-1,0
50351,4,0,1,0,0,0
50352,5,0,1,1,0,0
50353,4,1,0,1,-1,0
50357,5,NULL,1,1,0,0
50360,4,0,-1,1,-1,0
50367,2,0,0,-1,-1,0
50373,1,0,-1,-1,-1,0
50376,2,0,-1,0,-1,0
50378,2,0,-1,1,-1,0
50380,2,0,-1,-1,0,0
50382,2,0,-1,-1,-1,-1
50390,1,-1,-1,-1,-1,0
50393,2,0,-1,-1,-1,0
50394,3,0,-1,-1,-1,0
50396,5,0,1,1,-1,0
50397,NULL,NULL,NULL,NULL,0,NULL
50407,4,0,0,1,0,0
50411,4,NULL,1,NULL,NULL,0
50414,2,0,-1,-1,-1,1
50417,3,0,-1,1,-1,0
50423,3,NULL,NULL,0,-1,-1
50424,5,0,1,1,NULL,0
50425,3,0,-1,0,NULL,0
50426,3,0,-1,1,-1,0
50438,4,1,0,-1,-1,-1
50441,5,1,1,1,-1,0
50444,1,0,-1,-1,-1,0
50454,4,1,1,-1,-1,0
50455,2,-1,-1,-1,-1,0
50457,2,0,-1,0,-1,0
50464,2,-1,-1,-1,0,1
50468,1,0,-1,-1,-1,-1
50471,3,1,-1,1,-1,0
50481,2,0,-1,-1,-1,0
50485,2,1,0,0,-1,-1
50488,4,0,0,1,-1,0
50492,3,-1,1,-1,-1,0
50496,5,1,0,1,-1,0
50498,5,0,1,1,0,0
